date,IBM,AAPL,JPM,GS,HD,DIS,NKE,PG,V,RTX,CAT,PFE,UNH,WMT,VZ,WBA,MSFT,BA,AXP,MCD,CVX,MMM,INTC,KO,TRV,CSCO,JNJ,DD,MRK,XOM
2021-11-08,119.98178100585938,150.02813720703125,165.35350036621094,401.3581237792969,362.580078125,176.8699951171875,170.7281494140625,142.4425048828125,219.3261260986328,89.1497573852539,210.73007202148438,47.21098709106445,458.12176513671875,147.56222534179688,50.45026397705078,48.360904693603516,334.9004821777344,222.67999267578125,178.42315673828125,248.93247985839844,111.73241424560547,176.56614685058594,50.75904083251953,55.07400131225586,156.13735961914062,55.77864074707031,159.7515106201172,78.04204559326172,80.52185821533203,63.487152099609375
2021-11-09,117.98045349121094,150.39712524414062,164.1015625,398.4192199707031,364.6064758300781,175.11000061035156,172.685302734375,142.87490844726562,212.26361083984375,89.42494201660156,206.36300659179688,46.204833984375,459.8349304199219,148.07627868652344,50.36349868774414,47.585575103759766,333.866943359375,220.7899932861328,178.23486328125,248.4898681640625,112.55718994140625,176.36192321777344,50.41441345214844,55.23043441772461,154.85836791992188,56.20920944213867,159.39840698242188,79.51417541503906,80.56080627441406,64.10540008544922
2021-11-10,117.36541748046875,147.51504516601562,163.945068359375,392.2957458496094,362.57025146484375,174.4499969482422,167.1615753173828,144.28016662597656,214.79962158203125,88.62887573242188,203.27459716796875,47.88501739501953,455.42822265625,146.74171447753906,50.71056365966797,47.4595832824707,328.7488708496094,218.5,179.7510528564453,248.9619903564453,110.76209259033203,177.4220428466797,49.98115921020508,55.45530319213867,155.66513061523438,56.532142639160156,161.1247100830078,78.48369598388672,81.81713104248047,62.84248733520508
2021-11-11,117.41422271728516,147.46517944335938,163.93528747558594,395.460693359375,361.6357421875,162.11000061035156,165.8800048828125,143.86741638183594,209.67774963378906,87.51831817626953,205.10403442382812,49.01815414428711,452.9426574707031,146.80104064941406,50.565956115722656,48.399662017822266,330.3687438964844,219.3800048828125,179.66184997558594,246.04087829589844,110.77180480957031,175.27259826660156,49.75469207763672,55.474857330322266,155.28143310546875,55.54378128051758,159.9378662109375,79.47492218017578,81.82687377929688,62.9599609375
2021-11-12,116.13533020019531,149.5793914794922,163.2017364501953,397.98675537109375,366.55419921875,159.6300048828125,167.98617553710938,144.02467346191406,211.34185791015625,87.33158111572266,205.83187866210938,48.578575134277344,454.527099609375,146.06947326660156,50.45990753173828,48.475990295410156,334.6321716308594,220.9600067138672,180.2465362548828,246.54248046875,110.83972930908203,178.62806701660156,49.53807067871094,55.34775924682617,154.87803649902344,55.60249710083008,161.8505401611328,79.21975708007812,81.80740356445312,62.480247497558594
2021-11-15,116.04747009277344,149.58935546875,162.90830993652344,397.8884582519531,365.02947998046875,158.42999267578125,167.74774169921875,144.85011291503906,211.55113220214844,87.81315612792969,204.2975311279297,48.50042724609375,446.41668701171875,145.22921752929688,50.51775360107422,48.162864685058594,333.9862060546875,233.08999633789062,181.475341796875,248.77511596679688,113.35285186767578,178.2876739501953,49.54791259765625,55.35752868652344,155.50770568847656,56.042850494384766,160.38906860351562,77.30599212646484,81.50550079345703,63.018707275390625
2021-11-16,115.64720153808594,150.58660888671875,161.734619140625,396.1978454589844,385.9330139160156,158.8300018310547,170.70828247070312,144.64376831054688,214.4209442138672,87.37089538574219,202.05496215820312,48.45158004760742,445.2481689453125,141.53201293945312,50.18996810913086,47.526824951171875,337.4048767089844,225.8000030517578,179.28529357910156,248.30300903320312,113.7991943359375,178.34600830078125,49.833465576171875,54.966453552246094,156.42269897460938,55.77864074707031,159.55532836914062,76.14791870117188,81.9145278930664,63.65505599975586
2021-11-17,115.25669860839844,153.06979370117188,160.8641357421875,384.85516357421875,388.41192626953125,157.3300018310547,170.61888122558594,144.55532836914062,204.336669921875,85.94583129882812,199.64520263671875,49.692176818847656,444.584716796875,140.3160858154297,49.87181854248047,46.78314971923828,337.63385009765625,226.6199951171875,177.9871368408203,248.5292205810547,113.2887954711914,178.31683349609375,49.45929718017578,54.663360595703125,153.89419555664062,55.54378128051758,160.15365600585938,77.81632995605469,80.44393920898438,62.9599609375
2021-11-18,113.88994598388672,157.4377899169922,159.47528076171875,384.6782531738281,399.2325744628906,155.5800018310547,170.23143005371094,144.57496643066406,202.61276245117188,85.91617584228516,198.11085510253906,50.21967697143555,445.0996398925781,141.52212524414062,49.39942169189453,46.792930603027344,339.7744140625,227.25,174.61785888671875,249.30621337890625,112.33671569824219,175.28704833984375,48.9177360534668,54.17451477050781,153.51048278808594,52.48085021972656,159.29051208496094,78.04204559326172,80.88219451904297,62.274662017822266
2021-11-19,113.29442596435547,160.11045837402344,157.3919677734375,380.7663269042969,402.0262756347656,154.0,173.73837280273438,144.28016662597656,200.15147399902344,84.4531021118164,197.14695739746094,49.62379837036133,435.7217102050781,140.7609405517578,49.0330696105957,45.97097396850586,341.60638427734375,214.1300048828125,171.9719696044922,247.8013916015625,109.84361267089844,175.7380828857422,48.760189056396484,53.9007568359375,150.06700134277344,52.10899353027344,159.77113342285156,78.53276062011719,78.59353637695312,59.3963737487793
